personna; day ; event; time
cadre;2016-1-1;door;9:00
cadre;2016-1-1;light_off;8:58
cadre;2016-1-1;tv_off;8:55
cadre;2016-1-1;clock;7:30
cadre;2016-1-1;heater;7:0
cadre;2016-1-1;light_on;7:31
cadre;2016-1-1;coffee;7:48
cadre;2016-1-1;tv_on;7:48
cadre;2016-1-1;shower_on;8:10
cadre;2016-1-1;shower_off;8:20
cadre;2016-1-1;toothbrush;8:22
cadre;2016-1-2;door;10:00
cadre;2016-1-2;light_off;9:58
cadre;2016-1-2;tv_off;9:55
cadre;2016-1-2;clock;8:30
cadre;2016-1-2;heater;8:0
cadre;2016-1-2;light_on;8:31
cadre;2016-1-2;coffee;8:46
cadre;2016-1-2;tv_on;8:46
cadre;2016-1-2;shower_on;9:20
cadre;2016-1-2;shower_off;9:32
cadre;2016-1-2;toothbrush;9:34
cadre;2016-1-3;door;10:00
cadre;2016-1-3;light_off;9:58
cadre;2016-1-3;tv_off;9:55
cadre;2016-1-3;clock;8:30
cadre;2016-1-3;heater;8:0
cadre;2016-1-3;light_on;8:31
cadre;2016-1-3;coffee;8:47
cadre;2016-1-3;tv_on;8:47
cadre;2016-1-3;shower_on;9:10
cadre;2016-1-3;shower_off;9:23
cadre;2016-1-3;toothbrush;9:25
cadre;2016-1-4;door;8:15
cadre;2016-1-4;light_off;8:13
cadre;2016-1-4;clock;7:15
cadre;2016-1-4;heater;6:45
cadre;2016-1-4;light_on;7:16
cadre;2016-1-4;coffee;7:27
cadre;2016-1-4;shower_on;7:37
cadre;2016-1-4;shower_off;7:43
cadre;2016-1-4;toothbrush;7:45
cadre;2016-1-5;door;8:0
cadre;2016-1-5;light_off;7:58
cadre;2016-1-5;clock;7:0
cadre;2016-1-5;heater;6:30
cadre;2016-1-5;light_on;7:1
cadre;2016-1-5;coffee;7:13
cadre;2016-1-5;shower_on;7:26
cadre;2016-1-5;shower_off;7:32
cadre;2016-1-5;toothbrush;7:34
cadre;2016-1-6;door;7:45
cadre;2016-1-6;light_off;7:43
cadre;2016-1-6;clock;6:45
cadre;2016-1-6;heater;6:15
cadre;2016-1-6;light_on;6:46
cadre;2016-1-6;coffee;6:57
cadre;2016-1-6;shower_on;7:10
cadre;2016-1-6;shower_off;7:14
cadre;2016-1-6;toothbrush;7:16
cadre;2016-1-7;door;7:30
cadre;2016-1-7;light_off;7:28
cadre;2016-1-7;clock;6:30
cadre;2016-1-7;heater;6:0
cadre;2016-1-7;light_on;6:31
cadre;2016-1-7;coffee;6:39
cadre;2016-1-7;shower_on;6:47
cadre;2016-1-7;shower_off;6:53
cadre;2016-1-7;toothbrush;6:55
cadre;2016-1-8;door;7:45
cadre;2016-1-8;light_off;7:43
cadre;2016-1-8;clock;6:45
cadre;2016-1-8;heater;6:15
cadre;2016-1-8;light_on;6:46
cadre;2016-1-8;coffee;6:53
cadre;2016-1-8;shower_on;7:6
cadre;2016-1-8;shower_off;7:11
cadre;2016-1-8;toothbrush;7:13
cadre;2016-1-9;door;9:00
cadre;2016-1-9;light_off;8:58
cadre;2016-1-9;tv_off;8:55
cadre;2016-1-9;clock;7:30
cadre;2016-1-9;heater;7:0
cadre;2016-1-9;light_on;7:31
cadre;2016-1-9;coffee;7:45
cadre;2016-1-9;tv_on;7:45
cadre;2016-1-9;shower_on;8:15
cadre;2016-1-9;shower_off;8:28
cadre;2016-1-9;toothbrush;8:30
cadre;2016-1-10;door;9:00
cadre;2016-1-10;light_off;8:58
cadre;2016-1-10;tv_off;8:55
cadre;2016-1-10;clock;7:30
cadre;2016-1-10;heater;7:0
cadre;2016-1-10;light_on;7:31
cadre;2016-1-10;coffee;7:48
cadre;2016-1-10;tv_on;7:48
cadre;2016-1-10;shower_on;8:18
cadre;2016-1-10;shower_off;8:31
cadre;2016-1-10;toothbrush;8:33
cadre;2016-1-11;door;7:15
cadre;2016-1-11;light_off;7:13
cadre;2016-1-11;clock;6:15
cadre;2016-1-11;heater;5:45
cadre;2016-1-11;light_on;6:16
cadre;2016-1-11;coffee;6:28
cadre;2016-1-11;shower_on;6:41
cadre;2016-1-11;shower_off;6:46
cadre;2016-1-11;toothbrush;6:48
cadre;2016-1-12;door;8:0
cadre;2016-1-12;light_off;7:58
cadre;2016-1-12;clock;7:0
cadre;2016-1-12;heater;6:30
cadre;2016-1-12;light_on;7:1
cadre;2016-1-12;coffee;7:11
cadre;2016-1-12;shower_on;7:21
cadre;2016-1-12;shower_off;7:26
cadre;2016-1-12;toothbrush;7:28
cadre;2016-1-13;door;7:15
cadre;2016-1-13;light_off;7:13
cadre;2016-1-13;clock;6:15
cadre;2016-1-13;heater;5:45
cadre;2016-1-13;light_on;6:16
cadre;2016-1-13;coffee;6:26
cadre;2016-1-13;shower_on;6:38
cadre;2016-1-13;shower_off;6:45
cadre;2016-1-13;toothbrush;6:47
cadre;2016-1-14;door;8:15
cadre;2016-1-14;light_off;8:13
cadre;2016-1-14;clock;7:15
cadre;2016-1-14;heater;6:45
cadre;2016-1-14;light_on;7:16
cadre;2016-1-14;coffee;7:28
cadre;2016-1-14;shower_on;7:37
cadre;2016-1-14;shower_off;7:43
cadre;2016-1-14;toothbrush;7:45
cadre;2016-1-15;door;8:15
cadre;2016-1-15;light_off;8:13
cadre;2016-1-15;clock;7:15
cadre;2016-1-15;heater;6:45
cadre;2016-1-15;light_on;7:16
cadre;2016-1-15;coffee;7:25
cadre;2016-1-15;shower_on;7:37
cadre;2016-1-15;shower_off;7:42
cadre;2016-1-15;toothbrush;7:44
cadre;2016-1-16;door;9:00
cadre;2016-1-16;light_off;8:58
cadre;2016-1-16;tv_off;8:55
cadre;2016-1-16;clock;7:30
cadre;2016-1-16;heater;7:0
cadre;2016-1-16;light_on;7:31
cadre;2016-1-16;coffee;7:47
cadre;2016-1-16;tv_on;7:47
cadre;2016-1-16;shower_on;8:11
cadre;2016-1-16;shower_off;8:21
cadre;2016-1-16;toothbrush;8:23
cadre;2016-1-17;door;10:00
cadre;2016-1-17;light_off;9:58
cadre;2016-1-17;tv_off;9:55
cadre;2016-1-17;clock;8:30
cadre;2016-1-17;heater;8:0
cadre;2016-1-17;light_on;8:31
cadre;2016-1-17;coffee;8:46
cadre;2016-1-17;tv_on;8:46
cadre;2016-1-17;shower_on;9:13
cadre;2016-1-17;shower_off;9:22
cadre;2016-1-17;toothbrush;9:24
cadre;2016-1-18;door;7:45
cadre;2016-1-18;light_off;7:43
cadre;2016-1-18;clock;6:45
cadre;2016-1-18;heater;6:15
cadre;2016-1-18;light_on;6:46
cadre;2016-1-18;coffee;6:58
cadre;2016-1-18;shower_on;7:11
cadre;2016-1-18;shower_off;7:18
cadre;2016-1-18;toothbrush;7:20
cadre;2016-1-19;door;8:15
cadre;2016-1-19;light_off;8:13
cadre;2016-1-19;clock;7:15
cadre;2016-1-19;heater;6:45
cadre;2016-1-19;light_on;7:16
cadre;2016-1-19;coffee;7:27
cadre;2016-1-19;shower_on;7:36
cadre;2016-1-19;shower_off;7:41
cadre;2016-1-19;toothbrush;7:43
cadre;2016-1-20;door;7:45
cadre;2016-1-20;light_off;7:43
cadre;2016-1-20;clock;6:45
cadre;2016-1-20;heater;6:15
cadre;2016-1-20;light_on;6:46
cadre;2016-1-20;coffee;6:54
cadre;2016-1-20;shower_on;7:3
cadre;2016-1-20;shower_off;7:9
cadre;2016-1-20;toothbrush;7:11
cadre;2016-1-21;door;8:0
cadre;2016-1-21;light_off;7:58
cadre;2016-1-21;clock;7:0
cadre;2016-1-21;heater;6:30
cadre;2016-1-21;light_on;7:1
cadre;2016-1-21;coffee;7:12
cadre;2016-1-21;shower_on;7:24
cadre;2016-1-21;shower_off;7:29
cadre;2016-1-21;toothbrush;7:31
cadre;2016-1-22;door;7:15
cadre;2016-1-22;light_off;7:13
cadre;2016-1-22;clock;6:15
cadre;2016-1-22;heater;5:45
cadre;2016-1-22;light_on;6:16
cadre;2016-1-22;coffee;6:25
cadre;2016-1-22;shower_on;6:33
cadre;2016-1-22;shower_off;6:39
cadre;2016-1-22;toothbrush;6:41
cadre;2016-1-23;door;10:00
cadre;2016-1-23;light_off;9:58
cadre;2016-1-23;tv_off;9:55
cadre;2016-1-23;clock;8:30
cadre;2016-1-23;heater;8:0
cadre;2016-1-23;light_on;8:31
cadre;2016-1-23;coffee;8:48
cadre;2016-1-23;tv_on;8:48
cadre;2016-1-23;shower_on;9:18
cadre;2016-1-23;shower_off;9:29
cadre;2016-1-23;toothbrush;9:31
cadre;2016-1-24;door;9:00
cadre;2016-1-24;light_off;8:58
cadre;2016-1-24;tv_off;8:55
cadre;2016-1-24;clock;7:30
cadre;2016-1-24;heater;7:0
cadre;2016-1-24;light_on;7:31
cadre;2016-1-24;coffee;7:43
cadre;2016-1-24;tv_on;7:43
cadre;2016-1-24;shower_on;8:22
cadre;2016-1-24;shower_off;8:32
cadre;2016-1-24;toothbrush;8:34
cadre;2016-1-25;door;8:15
cadre;2016-1-25;meeting_happens;8:55
cadre;2016-1-25;light_off;8:13
cadre;2016-1-25;clock;7:15
cadre;2016-1-25;heater;6:45
cadre;2016-1-25;light_on;7:16
cadre;2016-1-25;coffee;7:33
cadre;2016-1-25;shower_on;7:42
cadre;2016-1-25;shower_off;7:49
cadre;2016-1-25;toothbrush;7:51
cadre;2016-1-26;door;7:30
cadre;2016-1-26;meeting_happens;8:10
cadre;2016-1-26;light_off;7:28
cadre;2016-1-26;clock;6:30
cadre;2016-1-26;heater;6:0
cadre;2016-1-26;light_on;6:31
cadre;2016-1-26;coffee;6:44
cadre;2016-1-26;shower_on;6:56
cadre;2016-1-26;shower_off;7:2
cadre;2016-1-26;toothbrush;7:4
cadre;2016-1-27;clock;6:30
cadre;2016-1-27;heater;6:0
cadre;2016-1-27;light_on;8:40
cadre;2016-1-27;coffee;8:43
cadre;2016-1-27;door;8:46
cadre;2016-1-28;door;8:0
cadre;2016-1-28;light_off;7:58
cadre;2016-1-28;clock;7:0
cadre;2016-1-28;heater;6:30
cadre;2016-1-28;light_on;7:1
cadre;2016-1-28;coffee;7:10
cadre;2016-1-28;shower_on;7:23
cadre;2016-1-28;shower_off;7:27
cadre;2016-1-28;toothbrush;7:29
cadre;2016-1-29;door;7:15
cadre;2016-1-29;light_off;7:13
cadre;2016-1-29;clock;6:15
cadre;2016-1-29;heater;5:45
cadre;2016-1-29;light_on;6:16
cadre;2016-1-29;coffee;6:27
cadre;2016-1-29;shower_on;6:39
cadre;2016-1-29;shower_off;6:43
cadre;2016-1-29;toothbrush;6:45
cadre;2016-1-30;door;10:00
cadre;2016-1-30;light_off;9:58
cadre;2016-1-30;tv_off;9:55
cadre;2016-1-30;clock;8:30
cadre;2016-1-30;heater;8:0
cadre;2016-1-30;light_on;8:31
cadre;2016-1-30;coffee;8:46
cadre;2016-1-30;tv_on;8:46
cadre;2016-1-30;shower_on;9:24
cadre;2016-1-30;shower_off;9:37
cadre;2016-1-30;toothbrush;9:39
cadre;2016-1-31;door;9:00
cadre;2016-1-31;light_off;8:58
cadre;2016-1-31;tv_off;8:55
cadre;2016-1-31;clock;7:30
cadre;2016-1-31;heater;7:0
cadre;2016-1-31;light_on;7:31
cadre;2016-1-31;coffee;7:44
cadre;2016-1-31;tv_on;7:44
cadre;2016-1-31;shower_on;8:9
cadre;2016-1-31;shower_off;8:22
cadre;2016-1-31;toothbrush;8:24
cadre;2016-2-1;door;7:0
cadre;2016-2-1;light_off;6:58
cadre;2016-2-1;clock;6:0
cadre;2016-2-1;heater;5:30
cadre;2016-2-1;light_on;6:1
cadre;2016-2-1;coffee;6:13
cadre;2016-2-1;shower_on;6:25
cadre;2016-2-1;shower_off;6:32
cadre;2016-2-1;toothbrush;6:34
cadre;2016-2-2;door;7:30
cadre;2016-2-2;light_off;7:28
cadre;2016-2-2;clock;6:30
cadre;2016-2-2;heater;6:0
cadre;2016-2-2;light_on;6:31
cadre;2016-2-2;coffee;6:38
cadre;2016-2-2;shower_on;6:51
