personna; day ; event; time
veto;2016-1-1;garage;10:00
veto;2016-1-1;light_off;9:58
veto;2016-1-1;tv_off;9:55
veto;2016-1-1;clock;8:30
veto;2016-1-1;heater;8:0
veto;2016-1-1;light_on;8:31
veto;2016-1-1;coffee;8:45
veto;2016-1-1;tv_on;8:45
veto;2016-1-1;shower_on;9:13
veto;2016-1-1;shower_off;9:22
veto;2016-1-1;toothbrush;9:24
veto;2016-1-2;garage;10:00
veto;2016-1-2;light_off;9:58
veto;2016-1-2;tv_off;9:55
veto;2016-1-2;clock;8:30
veto;2016-1-2;heater;8:0
veto;2016-1-2;light_on;8:31
veto;2016-1-2;coffee;8:48
veto;2016-1-2;tv_on;8:48
veto;2016-1-2;shower_on;9:11
veto;2016-1-2;shower_off;9:24
veto;2016-1-2;toothbrush;9:26
veto;2016-1-3;garage;9:00
veto;2016-1-3;light_off;8:58
veto;2016-1-3;tv_off;8:55
veto;2016-1-3;clock;7:30
veto;2016-1-3;heater;7:0
veto;2016-1-3;light_on;7:31
veto;2016-1-3;coffee;7:47
veto;2016-1-3;tv_on;7:47
veto;2016-1-3;shower_on;8:21
veto;2016-1-3;shower_off;8:34
veto;2016-1-3;toothbrush;8:36
veto;2016-1-4;garage;8:30
veto;2016-1-4;light_off;8:28
veto;2016-1-4;clock;7:30
veto;2016-1-4;heater;7:0
veto;2016-1-4;light_on;7:31
veto;2016-1-4;coffee;7:41
veto;2016-1-4;shower_on;7:52
veto;2016-1-4;shower_off;7:59
veto;2016-1-4;toothbrush;8:1
veto;2016-1-5;garage;7:45
veto;2016-1-5;light_off;7:43
veto;2016-1-5;clock;6:45
veto;2016-1-5;heater;6:15
veto;2016-1-5;light_on;6:46
veto;2016-1-5;coffee;6:55
veto;2016-1-5;shower_on;7:8
veto;2016-1-5;shower_off;7:14
veto;2016-1-5;toothbrush;7:16
veto;2016-1-6;garage;7:30
veto;2016-1-6;light_off;7:28
veto;2016-1-6;clock;6:30
veto;2016-1-6;heater;6:0
veto;2016-1-6;light_on;6:31
veto;2016-1-6;coffee;6:39
veto;2016-1-6;shower_on;6:49
veto;2016-1-6;shower_off;6:55
veto;2016-1-6;toothbrush;6:57
veto;2016-1-7;garage;7:30
veto;2016-1-7;light_off;7:28
veto;2016-1-7;clock;6:30
veto;2016-1-7;heater;6:0
veto;2016-1-7;light_on;6:31
veto;2016-1-7;coffee;6:48
veto;2016-1-7;shower_on;6:58
veto;2016-1-7;shower_off;7:5
veto;2016-1-7;toothbrush;7:7
veto;2016-1-8;garage;8:0
veto;2016-1-8;light_off;7:58
veto;2016-1-8;clock;7:0
veto;2016-1-8;heater;6:30
veto;2016-1-8;light_on;7:1
veto;2016-1-8;coffee;7:13
veto;2016-1-8;shower_on;7:26
veto;2016-1-8;shower_off;7:30
veto;2016-1-8;toothbrush;7:32
veto;2016-1-9;garage;10:00
veto;2016-1-9;light_off;9:58
veto;2016-1-9;tv_off;9:55
veto;2016-1-9;clock;8:30
veto;2016-1-9;heater;8:0
veto;2016-1-9;light_on;8:31
veto;2016-1-9;coffee;8:44
veto;2016-1-9;tv_on;8:44
veto;2016-1-9;shower_on;9:23
veto;2016-1-9;shower_off;9:35
veto;2016-1-9;toothbrush;9:37
veto;2016-1-10;garage;10:00
veto;2016-1-10;light_off;9:58
veto;2016-1-10;tv_off;9:55
veto;2016-1-10;clock;8:30
veto;2016-1-10;heater;8:0
veto;2016-1-10;light_on;8:31
veto;2016-1-10;coffee;8:45
veto;2016-1-10;tv_on;8:45
veto;2016-1-10;shower_on;9:19
veto;2016-1-10;shower_off;9:32
veto;2016-1-10;toothbrush;9:34
veto;2016-1-11;garage;8:30
veto;2016-1-11;light_off;8:28
veto;2016-1-11;clock;7:30
veto;2016-1-11;heater;7:0
